[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA A100-PCIE-40GB
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.3
   2000				0.6
   3000				0.9
   4000				1.2
   5000				1.4
   6000				1.7
   7000				2.0
   8000				2.2
   9000				2.4
   10000			2.7
   11000			2.9
   12000			3.1
   13000			3.3
   14000			3.5
   15000			3.7
   16000			4.0
   17000			4.1
   18000			4.3
   19000			4.5
   20000			4.7
   22000			5.0
   24000			5.4
   26000			5.7
   28000			6.0
   30000			6.3
   32000			6.5
   34000			6.8
   36000			7.1
   38000			7.3
   40000			7.5
   42000			7.8
   44000			8.0
   46000			8.2
   48000			8.4
   50000			8.6
   60000			9.1
   70000			9.9
   80000			10.2
   90000			11.1
   100000			11.6
   200000			14.4
   300000			15.8
   400000			16.8
   500000			17.6
   600000			17.1
   700000			17.5
   800000			17.7
   900000			17.8
   1000000			17.1
   2000000			17.9
   3000000			17.9
   4000000			18.0
   5000000			18.3
   6000000			18.3
   7000000			18.3
   8000000			18.3
   9000000			18.3
   10000000			21.6
   11000000			21.9
   12000000			23.2
   13000000			23.0
   14000000			23.4
   15000000			24.7
   16000000			24.8
   18000000			24.9
   20000000			24.9
   22000000			24.9
   24000000			24.9
   26000000			25.0
   28000000			25.0
   30000000			25.0
   32000000			25.0
   36000000			25.0
   40000000			25.0
   44000000			25.0
   48000000			25.0
   52000000			25.0
   56000000			25.0
   60000000			25.0
   64000000			25.0
   68000000			25.0

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.5
   2000				1.0
   3000				1.5
   4000				2.0
   5000				2.5
   6000				3.0
   7000				3.5
   8000				4.0
   9000				4.5
   10000			4.9
   11000			5.5
   12000			6.0
   13000			6.4
   14000			6.7
   15000			7.2
   16000			6.9
   17000			7.8
   18000			8.1
   19000			8.1
   20000			8.6
   22000			9.5
   24000			10.1
   26000			10.6
   28000			10.9
   30000			11.5
   32000			12.0
   34000			12.3
   36000			12.8
   38000			13.1
   40000			13.4
   42000			13.7
   44000			14.0
   46000			14.3
   48000			14.6
   50000			14.8
   60000			16.1
   70000			17.0
   80000			17.7
   90000			18.3
   100000			18.9
   200000			22.0
   300000			23.3
   400000			24.0
   500000			24.4
   600000			24.7
   700000			24.9
   800000			25.1
   900000			25.2
   1000000			25.3
   2000000			25.6
   3000000			25.8
   4000000			25.9
   5000000			25.9
   6000000			25.8
   7000000			26.2
   8000000			25.7
   9000000			25.9
   10000000			25.6
   11000000			25.8
   12000000			25.7
   13000000			25.7
   14000000			25.7
   15000000			25.6
   16000000			25.7
   18000000			25.9
   20000000			25.8
   22000000			25.8
   24000000			25.7
   26000000			25.7
   28000000			25.7
   30000000			25.7
   32000000			25.7
   36000000			25.8
   40000000			25.7
   44000000			25.8
   48000000			25.8
   52000000			25.8
   56000000			25.8
   60000000			25.8
   64000000			25.8
   68000000			25.8

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.6
   2000				1.3
   3000				2.0
   4000				2.7
   5000				3.2
   6000				4.0
   7000				4.4
   8000				5.3
   9000				5.5
   10000			6.6
   11000			6.6
   12000			7.2
   13000			7.6
   14000			8.3
   15000			8.8
   16000			9.5
   17000			10.0
   18000			10.6
   19000			11.2
   20000			11.6
   22000			13.1
   24000			14.1
   26000			15.4
   28000			16.5
   30000			16.9
   32000			19.1
   34000			20.1
   36000			21.7
   38000			22.6
   40000			22.3
   42000			24.8
   44000			26.0
   46000			27.2
   48000			28.8
   50000			27.6
   60000			36.1
   70000			42.1
   80000			47.9
   90000			51.2
   100000			60.2
   200000			122.6
   300000			187.9
   400000			256.4
   500000			319.3
   600000			374.2
   700000			427.1
   800000			476.3
   900000			524.0
   1000000			579.5
   2000000			579.3
   3000000			794.8
   4000000			944.2
   5000000			1085.2
   6000000			1232.8
   7000000			1359.9
   8000000			1484.4
   9000000			1550.6
   10000000			1617.0
   11000000			1651.5
   12000000			1712.4
   13000000			1737.3
   14000000			1747.0
   15000000			1636.2
   16000000			1560.1
   18000000			1250.6
   20000000			1117.2
   22000000			1114.1
   24000000			1122.5
   26000000			1131.4
   28000000			1141.4
   30000000			1161.7
   32000000			1162.1
   36000000			1182.3
   40000000			1190.5
   44000000			1205.4
   48000000			1211.7
   52000000			1221.3
   56000000			1069.3
   60000000			1078.4
   64000000			1138.6
   68000000			1096.5

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
